,start_station_name,start_station_id
0,Market at Sansome,77
1,Market at 4th,76
2,Steuart at Market,74
3,Grant Avenue at Columbus Avenue,73
4,San Francisco Caltrain (Townsend at 4th),70
5,San Francisco Caltrain 2 (330 Townsend),69
6,Market at 10th,67
7,Townsend at 7th,65
8,2nd at South Park,64
9,Howard at 2nd,63
10,2nd at Folsom,62
11,2nd at Townsend,61
12,Embarcadero at Sansome,60
13,Beale at Market,56
14,Temporary Transbay Terminal (Howard at Beale),55
15,Embarcadero at Bryant,54
16,Embarcadero at Folsom,51
17,Harry Bridges Plaza (Ferry Building),50
18,Powell Street BART,39
